action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,label,target,inchikey
,,13394011.0,[],CHEMBL2410097,Inhibition of recombinant HDAC3-NCoR1 (unknown origin) using MAL as substrate incubated for 3 hrs prior to substrate addition measured after 60 mins by fluorescence plate reader analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,Nc1ccccc1NC(=O)c1ccc(CNc2nccc(-c3cccnc3)n2)cc1,,,CHEMBL2407081,J Med Chem,2013.0,"{'bei': '19.32', 'le': '0.35', 'lle': '3.67', 'sei': '7.24'}",CHEMBL272980,MOCETINOSTAT,CHEMBL272980,7.66,0.0,http://www.openphacts.org/units/Nanomolar,1907990.0,=,1.0,1.0,=,,IC50,nM,,22.0,CHEMBL3038484,Homo sapiens,Histone deacetylase 3/NCoR1,9606,,,IC50,uM,UO_0000065,,0.022,1,,HRNLUBSXIHFDHP-UHFFFAOYSA-N
,,13394972.0,[],CHEMBL2410097,Inhibition of recombinant HDAC3-NCoR1 (unknown origin) using MAL as substrate incubated for 3 hrs prior to substrate addition measured after 60 mins by fluorescence plate reader analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,Nc1ccccc1NC(=O)c1ccc(CNC2=N[C@@H](c3ccccc3)[C@H](c3ccccc3)S2)cc1,,,CHEMBL2407081,J Med Chem,2013.0,"{'bei': '13.40', 'le': '0.25', 'lle': '0.21', 'sei': '8.06'}",CHEMBL2407725,,CHEMBL2407725,6.41,0.0,http://www.openphacts.org/units/Nanomolar,1908000.0,=,1.0,1.0,=,,IC50,nM,,388.0,CHEMBL3038484,Homo sapiens,Histone deacetylase 3/NCoR1,9606,,,IC50,uM,UO_0000065,,0.388,1,,ATSHIQNIJWBDQY-SVBPBHIXSA-N
,,13394973.0,[],CHEMBL2410097,Inhibition of recombinant HDAC3-NCoR1 (unknown origin) using MAL as substrate incubated for 3 hrs prior to substrate addition measured after 60 mins by fluorescence plate reader analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,Nc1ccccc1NC(=O)c1ccc(CNC2=N[C@H](c3ccccc3)[C@@H](c3ccccc3)S2)cc1,,,CHEMBL2407081,J Med Chem,2013.0,"{'bei': '13.67', 'le': '0.26', 'lle': '0.34', 'sei': '8.23'}",CHEMBL2407724,,CHEMBL2407724,6.54,0.0,http://www.openphacts.org/units/Nanomolar,1907999.0,=,1.0,1.0,=,,IC50,nM,,287.0,CHEMBL3038484,Homo sapiens,Histone deacetylase 3/NCoR1,9606,,,IC50,uM,UO_0000065,,0.287,1,,ATSHIQNIJWBDQY-KAYWLYCHSA-N
,,13394974.0,[],CHEMBL2410097,Inhibition of recombinant HDAC3-NCoR1 (unknown origin) using MAL as substrate incubated for 3 hrs prior to substrate addition measured after 60 mins by fluorescence plate reader analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,Nc1ccccc1NC(=O)c1ccc(CNC2=NC[C@H](c3ccccc3)S2)cc1,,,CHEMBL2407081,J Med Chem,2013.0,"{'bei': '19.68', 'le': '0.37', 'lle': '3.47', 'sei': '9.96'}",CHEMBL2407723,,CHEMBL2407723,7.92,0.0,http://www.openphacts.org/units/Nanomolar,1907998.0,=,1.0,1.0,=,,IC50,nM,,12.0,CHEMBL3038484,Homo sapiens,Histone deacetylase 3/NCoR1,9606,,,IC50,uM,UO_0000065,,0.012,1,,YPQXVNKTJNZZFB-OAQYLSRUSA-N
,,13394975.0,[],CHEMBL2410097,Inhibition of recombinant HDAC3-NCoR1 (unknown origin) using MAL as substrate incubated for 3 hrs prior to substrate addition measured after 60 mins by fluorescence plate reader analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,Nc1ccccc1NC(=O)c1ccc(CNC2=NC[C@@H](c3ccccc3)S2)cc1,,,CHEMBL2407081,J Med Chem,2013.0,"{'bei': '18.98', 'le': '0.36', 'lle': '3.19', 'sei': '9.61'}",CHEMBL2407722,,CHEMBL2407722,7.64,0.0,http://www.openphacts.org/units/Nanomolar,1907997.0,=,1.0,1.0,=,,IC50,nM,,23.0,CHEMBL3038484,Homo sapiens,Histone deacetylase 3/NCoR1,9606,,,IC50,uM,UO_0000065,,0.023,1,,YPQXVNKTJNZZFB-NRFANRHFSA-N
,,13394976.0,[],CHEMBL2410097,Inhibition of recombinant HDAC3-NCoR1 (unknown origin) using MAL as substrate incubated for 3 hrs prior to substrate addition measured after 60 mins by fluorescence plate reader analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,Nc1ccccc1NC(=O)c1ccc(CNC2=N[C@H](Cc3ccccc3)CS2)cc1,,,CHEMBL2407081,J Med Chem,2013.0,"{'bei': '17.87', 'le': '0.34', 'lle': '3.12', 'sei': '9.36'}",CHEMBL2407721,,CHEMBL2407721,7.44,0.0,http://www.openphacts.org/units/Nanomolar,1907996.0,=,1.0,1.0,=,,IC50,nM,,36.0,CHEMBL3038484,Homo sapiens,Histone deacetylase 3/NCoR1,9606,,,IC50,uM,UO_0000065,,0.036,1,,HCPJONOCDRERJJ-HXUWFJFHSA-N
,,13394977.0,[],CHEMBL2410097,Inhibition of recombinant HDAC3-NCoR1 (unknown origin) using MAL as substrate incubated for 3 hrs prior to substrate addition measured after 60 mins by fluorescence plate reader analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,Nc1ccccc1NC(=O)c1ccc(CNC2=N[C@@H](Cc3ccccc3)CS2)cc1,,,CHEMBL2407081,J Med Chem,2013.0,"{'bei': '17.49', 'le': '0.33', 'lle': '2.96', 'sei': '9.16'}",CHEMBL2407720,,CHEMBL2407720,7.28,0.0,http://www.openphacts.org/units/Nanomolar,1907995.0,=,1.0,1.0,=,,IC50,nM,,52.0,CHEMBL3038484,Homo sapiens,Histone deacetylase 3/NCoR1,9606,,,IC50,uM,UO_0000065,,0.052,1,,HCPJONOCDRERJJ-FQEVSTJZSA-N
,,13394978.0,[],CHEMBL2410097,Inhibition of recombinant HDAC3-NCoR1 (unknown origin) using MAL as substrate incubated for 3 hrs prior to substrate addition measured after 60 mins by fluorescence plate reader analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,Nc1ccccc1NC(=O)c1ccc(CNC2=N[C@@H](c3ccc(O)cc3)CS2)cc1,,,CHEMBL2407081,J Med Chem,2013.0,"{'bei': '18.63', 'le': '0.35', 'lle': '3.64', 'sei': '7.82'}",CHEMBL2407719,,CHEMBL2407719,7.80,0.0,http://www.openphacts.org/units/Nanomolar,1907994.0,=,1.0,1.0,=,,IC50,nM,,16.0,CHEMBL3038484,Homo sapiens,Histone deacetylase 3/NCoR1,9606,,,IC50,uM,UO_0000065,,0.016,1,,FXCUYPUWZLTQGM-OAQYLSRUSA-N
,,13394979.0,[],CHEMBL2410097,Inhibition of recombinant HDAC3-NCoR1 (unknown origin) using MAL as substrate incubated for 3 hrs prior to substrate addition measured after 60 mins by fluorescence plate reader analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,Nc1ccccc1NC(=O)c1ccc(CNC2=N[C@H](c3ccccc3)CS2)cc1,,,CHEMBL2407081,J Med Chem,2013.0,"{'bei': '17.64', 'le': '0.33', 'lle': '2.65', 'sei': '8.93'}",CHEMBL2407718,,CHEMBL2407718,7.10,0.0,http://www.openphacts.org/units/Nanomolar,1907993.0,=,1.0,1.0,=,,IC50,nM,,79.0,CHEMBL3038484,Homo sapiens,Histone deacetylase 3/NCoR1,9606,,,IC50,uM,UO_0000065,,0.079,1,,SMTXKVURUPJKNQ-NRFANRHFSA-N
,,13394980.0,[],CHEMBL2410097,Inhibition of recombinant HDAC3-NCoR1 (unknown origin) using MAL as substrate incubated for 3 hrs prior to substrate addition measured after 60 mins by fluorescence plate reader analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,Nc1ccccc1NC(=O)c1ccc(CNC2=N[C@@H](c3ccccc3)CS2)cc1,,,CHEMBL2407081,J Med Chem,2013.0,"{'bei': '19.68', 'le': '0.37', 'lle': '3.47', 'sei': '9.96'}",CHEMBL2407717,,CHEMBL2407717,7.92,0.0,http://www.openphacts.org/units/Nanomolar,1907992.0,=,1.0,1.0,=,,IC50,nM,,12.0,CHEMBL3038484,Homo sapiens,Histone deacetylase 3/NCoR1,9606,,,IC50,uM,UO_0000065,,0.012,1,,SMTXKVURUPJKNQ-OAQYLSRUSA-N
