action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,label,target,inchikey
,,19249797.0,[],CHEMBL4401293,Inhibition of human recombinant HDAC3/GST-tagged NCOR1 DAD (397 to 503 residues) expressed in baculovirus expression system using Fluor de Lys as substrate measured after 15 mins by fluorescence assay,B,,,BAO_0000190,BAO_0000019,assay format,Nc1cc(F)ccc1NC(=O)c1cnc(NCc2ccccc2)cn1,,,CHEMBL4400533,Eur J Med Chem,2019.0,"{'bei': '12.41', 'le': '0.23', 'lle': '1.13', 'sei': '4.51'}",CHEMBL4583282,,CHEMBL4583282,4.19,0.0,http://www.openphacts.org/units/Nanomolar,3213441.0,=,1.0,1.0,=,,IC50,nM,,65000.0,CHEMBL3038484,Homo sapiens,Histone deacetylase 3/NCoR1,9606,,,IC50,uM,UO_0000065,,65.0,0,,QPCVVEWSBUFRRL-UHFFFAOYSA-N
,,19249798.0,[],CHEMBL4401293,Inhibition of human recombinant HDAC3/GST-tagged NCOR1 DAD (397 to 503 residues) expressed in baculovirus expression system using Fluor de Lys as substrate measured after 15 mins by fluorescence assay,B,,,BAO_0000190,BAO_0000019,assay format,Nc1ccccc1NC(=O)c1cnc(NCc2ccccc2)cn1,,,CHEMBL4400533,Eur J Med Chem,2019.0,"{'bei': '13.10', 'le': '0.24', 'lle': '1.26', 'sei': '4.50'}",CHEMBL4589724,,CHEMBL4589724,4.18,0.0,http://www.openphacts.org/units/Nanomolar,3213440.0,=,1.0,1.0,=,,IC50,nM,,65600.0,CHEMBL3038484,Homo sapiens,Histone deacetylase 3/NCoR1,9606,,,IC50,uM,UO_0000065,,65.6,0,,VNDKSSOLKIUTSX-UHFFFAOYSA-N
,,19249799.0,[],CHEMBL4401293,Inhibition of human recombinant HDAC3/GST-tagged NCOR1 DAD (397 to 503 residues) expressed in baculovirus expression system using Fluor de Lys as substrate measured after 15 mins by fluorescence assay,B,,,BAO_0000190,BAO_0000019,assay format,Nc1cc(F)ccc1NC(=O)c1cnc(Nc2ccccc2)cn1,,,CHEMBL4400533,Eur J Med Chem,2019.0,"{'bei': '12.82', 'le': '0.24', 'lle': '0.96', 'sei': '4.46'}",CHEMBL4537136,,CHEMBL4537136,4.15,0.0,http://www.openphacts.org/units/Nanomolar,3213439.0,=,1.0,1.0,=,,IC50,nM,,71500.0,CHEMBL3038484,Homo sapiens,Histone deacetylase 3/NCoR1,9606,,,IC50,uM,UO_0000065,,71.5,0,,RXFXVQNNZNLCHJ-UHFFFAOYSA-N
,,22469337.0,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '0.6667', 'text_value': None, 'type': 'Time', 'units': 'min', 'value': '40.0'}]",CHEMBL4684793,Inhibition of human recombinant HDAC3/NCOR1 complex preincubated for 10 mins followed by addition of substrate fluor De Lys SIRT1 deacetylase measured after 30 mins by fluorescent plate reader analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,Nc1ccccc1NC(=O)Cc1ccc(NC(=O)c2n[nH]cc2NC(=O)c2c(Cl)cccc2Cl)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL4680185,Eur J Med Chem,2020.0,,CHEMBL4745240,,CHEMBL4745240,,0.0,http://www.openphacts.org/units/Nanomolar,3521450.0,>,1.0,1.0,>,,IC50,nM,,1000000.0,CHEMBL3038484,Homo sapiens,Histone deacetylase 3/NCoR1,9606,,,IC50,uM,UO_0000065,,1000.0,0,,DYZDPPLEIVDWAH-UHFFFAOYSA-N
,,,,,,,,,,,,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccccc1Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,DECOY,OWRSAHYFSSNENM-UHFFFAOYSA-N
,,,,,,,,,,,,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(C#N)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,DECOY,ZJYUMURGSZQFMH-UHFFFAOYSA-N
,,,,,,,,,,,,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(C)c1C(O)c1ccc(Cl)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,DECOY,YOMWDCALSDWFSV-UHFFFAOYSA-N
,,,,,,,,,,,,Cc1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,DECOY,PSOPUAQFGCRDIP-UHFFFAOYSA-N
,,,,,,,,,,,,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,DECOY,KEZNSCMBVRNOHO-UHFFFAOYSA-N
,,,,,,,,,,,,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccccc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,DECOY,ZKEKOOJDMYTEMP-UHFFFAOYSA-N
,,,,,,,,,,,,Cc1cc(Br)ccc1C(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,DECOY,OKZQSFTUAACQQS-UHFFFAOYSA-N
,,,,,,,,,,,,O=C(c1ccc(Cl)cc1Cl)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,DECOY,STDSVETYHZLIBJ-UHFFFAOYSA-N
,,,,,,,,,,,,CS(=O)(=O)c1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2Cl)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,DECOY,NKQAZJTVQHGKAX-UHFFFAOYSA-N
,,,,,,,,,,,,c1cc2cc(c1)-c1cccc(c1)C[n+]1ccc(c3ccccc31)NCCCCCCCCCCNc1cc[n+](c3ccccc13)C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,DECOY,QFSGJJCWIIUQCT-UHFFFAOYSA-P
,,,,,,,,,,,,CSc1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2Cl)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,DECOY,AHSGSKZYZFQYPJ-UHFFFAOYSA-N
,,,,,,,,,,,,O=C(c1ccc(Cl)cc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,DECOY,NIRBVFLCQJVJOQ-UHFFFAOYSA-N
,,,,,,,,,,,,O=C1O/C(=C/Br)CCC1c1cccc2ccccc12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,DECOY,BYUCSFWXCMTYOI-ZRDIBKRKSA-N
,,,,,,,,,,,,O=C1O/C(=C/I)CCC1c1cccc2ccccc12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,DECOY,ZJGPRRLHNMNINO-ZRDIBKRKSA-N
,,,,,,,,,,,,C#C/C=C1\CCC(c2cccc3ccccc23)C(=O)O1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,DECOY,NHOIHEBFAKOZIE-MKMNVTDBSA-N
,,,,,,,,,,,,O=C1O/C(=C\I)CCC1c1cccc2ccccc12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,DECOY,ZJGPRRLHNMNINO-BENRWUELSA-N
,,,,,,,,,,,,O=C(c1ccccc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,DECOY,KXRCWAXGSZBUMP-UHFFFAOYSA-N
,,,,,,,,,,,,O=c1cnn(-c2ccc(C(O)c3ccc(Cl)cc3)c(Cl)c2)c(=O)[nH]1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,DECOY,PDYOESYMTUGYJT-UHFFFAOYSA-N
,,,,,,,,,,,,O=C(c1ccccc1)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,DECOY,IRMUFUSLSOVJAG-UHFFFAOYSA-N
