molecule_chembl_id,canonical_smiles,inchikey,standard_value,target,label,scaffold,split
CHEMBL2407725,Nc1ccccc1NC(=O)c1ccc(CNC2=N[C@@H](c3ccccc3)[C@H](c3ccccc3)S2)cc1,ATSHIQNIJWBDQY-SVBPBHIXSA-N,388.0,,1,O=C(Nc1ccccc1)c1ccc(CNC2=NC(c3ccccc3)C(c3ccccc3)S2)cc1,train
CHEMBL2407724,Nc1ccccc1NC(=O)c1ccc(CNC2=N[C@H](c3ccccc3)[C@@H](c3ccccc3)S2)cc1,ATSHIQNIJWBDQY-KAYWLYCHSA-N,287.0,,1,O=C(Nc1ccccc1)c1ccc(CNC2=NC(c3ccccc3)C(c3ccccc3)S2)cc1,train
CHEMBL2407723,Nc1ccccc1NC(=O)c1ccc(CNC2=NC[C@H](c3ccccc3)S2)cc1,YPQXVNKTJNZZFB-OAQYLSRUSA-N,12.0,,1,O=C(Nc1ccccc1)c1ccc(CNC2=NCC(c3ccccc3)S2)cc1,train
CHEMBL2407722,Nc1ccccc1NC(=O)c1ccc(CNC2=NC[C@@H](c3ccccc3)S2)cc1,YPQXVNKTJNZZFB-NRFANRHFSA-N,23.0,,1,O=C(Nc1ccccc1)c1ccc(CNC2=NCC(c3ccccc3)S2)cc1,train
CHEMBL2407721,Nc1ccccc1NC(=O)c1ccc(CNC2=N[C@H](Cc3ccccc3)CS2)cc1,HCPJONOCDRERJJ-HXUWFJFHSA-N,36.0,,1,O=C(Nc1ccccc1)c1ccc(CNC2=NC(Cc3ccccc3)CS2)cc1,train
CHEMBL2407720,Nc1ccccc1NC(=O)c1ccc(CNC2=N[C@@H](Cc3ccccc3)CS2)cc1,HCPJONOCDRERJJ-FQEVSTJZSA-N,52.0,,1,O=C(Nc1ccccc1)c1ccc(CNC2=NC(Cc3ccccc3)CS2)cc1,train
CHEMBL2407719,Nc1ccccc1NC(=O)c1ccc(CNC2=N[C@@H](c3ccc(O)cc3)CS2)cc1,FXCUYPUWZLTQGM-OAQYLSRUSA-N,16.0,,1,O=C(Nc1ccccc1)c1ccc(CNC2=NC(c3ccccc3)CS2)cc1,train
CHEMBL2407718,Nc1ccccc1NC(=O)c1ccc(CNC2=N[C@H](c3ccccc3)CS2)cc1,SMTXKVURUPJKNQ-NRFANRHFSA-N,79.0,,1,O=C(Nc1ccccc1)c1ccc(CNC2=NC(c3ccccc3)CS2)cc1,train
CHEMBL2407717,Nc1ccccc1NC(=O)c1ccc(CNC2=N[C@@H](c3ccccc3)CS2)cc1,SMTXKVURUPJKNQ-OAQYLSRUSA-N,12.0,,1,O=C(Nc1ccccc1)c1ccc(CNC2=NC(c3ccccc3)CS2)cc1,train
CHEMBL2407733,Nc1ccccc1NC(=O)c1ccc(CNC2=NC(=O)C(Cc3c[nH]c4ccccc34)N2)cc1,LOSMQVNNNADUOB-UHFFFAOYSA-N,104.0,,1,O=C(Nc1ccccc1)c1ccc(CNC2=NC(=O)C(Cc3c[nH]c4ccccc34)N2)cc1,train
CHEMBL2407732,CC(=O)N1C(NCc2ccc(C(=O)Nc3ccccc3N)cc2)=NC(=O)C1Cc1c[nH]c2ccccc12,JLIOMTJQMCMPRL-UHFFFAOYSA-N,70.0,,1,O=C(Nc1ccccc1)c1ccc(CNC2=NC(=O)C(Cc3c[nH]c4ccccc34)N2)cc1,train
CHEMBL2407731,CC(C)(C)OC(=O)N1C(NCc2ccc(C(=O)Nc3ccccc3N)cc2)=NC(=O)C1Cc1c[nH]c2ccccc12,AMDUCWJBYRMCNV-UHFFFAOYSA-N,40.0,,1,O=C(Nc1ccccc1)c1ccc(CNC2=NC(=O)C(Cc3c[nH]c4ccccc34)N2)cc1,train
CHEMBL2407739,Nc1cc2ccccc2cc1NC(=O)c1ccc(CNc2nccc(-c3cccnc3)n2)cc1,NPMWQFIEKSOOIB-UHFFFAOYSA-N,630.0,,1,O=C(Nc1ccc2ccccc2c1)c1ccc(CNc2nccc(-c3cccnc3)n2)cc1,train
CHEMBL113537,O=C(CCCCCCC(=O)C(F)(F)F)Nc1ccccc1,KRCXZGYVOZSCSF-UHFFFAOYSA-N,52.0,,1,c1ccccc1,train
CHEMBL98,O=C(CCCCCCC(=O)Nc1ccccc1)NO,WAEXFXRVDQXREF-UHFFFAOYSA-N,51.0,,1,c1ccccc1,train
CHEMBL3622375,Nc1ccccc1NC(=O)c1ccc(-c2cn(CCc3cccc([N+](=O)[O-])c3)nn2)s1,AXAUXMXVFLCQQK-UHFFFAOYSA-N,260.0,,1,O=C(Nc1ccccc1)c1ccc(-c2cn(CCc3ccccc3)nn2)s1,train
CHEMBL4170617,CC(C)CCN(CCCCCCC(=O)NO)c1ncc(C(=O)NCCCn2ccnc2)s1,RBVSKBDEAXWXGR-UHFFFAOYSA-N,0.67,,1,O=C(NCCCn1ccnc1)c1cncs1,train
CHEMBL4175555,CS(=O)(=O)Nc1ccc(-c2ccnc(Nc3ccc(N4CCC(C(=O)Nc5ccc(/C=C/C(=O)NO)cc5)CC4)cc3)n2)cc1,LUTGPKYBTPTJKM-SYZQJQIISA-N,234.0,,1,O=C(Nc1ccccc1)C1CCN(c2ccc(Nc3nccc(-c4ccccc4)n3)cc2)CC1,train
CHEMBL4159366,CS(=O)(=O)Nc1ccc(-c2ccnc(Nc3ccc(N4CCC(C(=O)NCCCCCCCC(=O)NO)CC4)cc3)n2)cc1,VRIACVNCRMFMHQ-UHFFFAOYSA-N,17.0,,1,c1ccc(-c2ccnc(Nc3ccc(N4CCCCC4)cc3)n2)cc1,train
CHEMBL4160840,O=C(NO)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,FEWZFWICBIRTLY-UHFFFAOYSA-N,45.0,,1,c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,train
CHEMBL4173739,Nc1ccccc1NC(=O)CCCc1ccc(N(CCCl)CCCl)cc1,BGBBFURFEHZTRD-UHFFFAOYSA-N,9520.0,,1,O=C(CCCc1ccccc1)Nc1ccccc1,train
CHEMBL4437852,Nc1ccccc1NC(=O)c1ccc(CSc2nccc(C(F)(F)F)n2)cc1,GMXVQBBEKILTMI-UHFFFAOYSA-N,274.0,,1,O=C(Nc1ccccc1)c1ccc(CSc2ncccn2)cc1,train
CHEMBL4632775,CN1CC(C(=O)N[C@@H](CCCCCC(=O)c2ncco2)c2ncc(-c3ccc(F)cc3)[nH]2)C1,DHDVNZCBVBNUML-IBGZPJMESA-N,3.1,,1,O=C(CCCCCC(NC(=O)C1CNC1)c1ncc(-c2ccccc2)[nH]1)c1ncco1,train
CHEMBL4647458,CN1CCC(C(=O)N[C@@H](CCCCCC(=O)c2nccs2)c2ncc(-c3ccc(F)cc3)[nH]2)CC1,OEVNYXUGKVJBIX-NRFANRHFSA-N,2.0,,1,O=C(CCCCCC(NC(=O)C1CCNCC1)c1ncc(-c2ccccc2)[nH]1)c1nccs1,train
CHEMBL4633968,Cc1coc(C(=O)CCCCC[C@H](NC(=O)C2CCN(C)CC2)c2ncc(-c3ccc(F)cc3)[nH]2)n1,UPTHKGNCOWCZQD-QFIPXVFZSA-N,50.0,,1,O=C(CCCCCC(NC(=O)C1CCNCC1)c1ncc(-c2ccccc2)[nH]1)c1ncco1,train
CHEMBL4644307,N[C@@H](CCCCCC(=O)c1ccon1)c1ncc(-c2ccccc2F)[nH]1,NRXMHGVXTYHHEY-HNNXBMFYSA-N,1.2,,1,O=C(CCCCCCc1ncc(-c2ccccc2)[nH]1)c1ccon1,train
CHEMBL4636534,N[C@@H](CCCCCC(=O)c1cocn1)c1ncc(-c2ccccc2F)[nH]1,UTQMWCHHCIKOKP-HNNXBMFYSA-N,150.0,,1,O=C(CCCCCCc1ncc(-c2ccccc2)[nH]1)c1cocn1,train
CHEMBL4644575,COc1nc2ccccc2cc1-c1cnc([C@@H](N)CCCCCC(=O)c2cc[nH]n2)[nH]1,UKNPNNJYGOJZRO-KRWDZBQOSA-N,230.0,,1,O=C(CCCCCCc1ncc(-c2cnc3ccccc3c2)[nH]1)c1cc[nH]n1,train
CHEMBL4635130,COc1nc2ccccc2cc1-c1cnc([C@@H](N)CCCCCC(=O)c2ncc[nH]2)[nH]1,QWCIDQYVYURRSR-KRWDZBQOSA-N,1200.0,,1,O=C(CCCCCCc1ncc(-c2cnc3ccccc3c2)[nH]1)c1ncc[nH]1,train
CHEMBL4639586,COc1nc2ccccc2cc1-c1cnc([C@@H](N)CCCCCC(=O)c2cnoc2C)[nH]1,RVTQYDDCOIFTGY-IBGZPJMESA-N,90.0,,1,O=C(CCCCCCc1ncc(-c2cnc3ccccc3c2)[nH]1)c1cnoc1,train
CHEMBL4646763,COc1nc2ccccc2cc1-c1cnc([C@@H](N)CCCCCC(=O)c2ncc(CO)o2)[nH]1,BMEYTXZHJHHKPN-SFHVURJKSA-N,120.0,,1,O=C(CCCCCCc1ncc(-c2cnc3ccccc3c2)[nH]1)c1ncco1,train
CHEMBL4637836,N[C@@H](CCCCCC(=O)c1ccon1)c1cc(-c2ccccc2F)on1,DJJICDKYOCVBNI-HNNXBMFYSA-N,3.2,,1,O=C(CCCCCCc1cc(-c2ccccc2)on1)c1ccon1,train
CHEMBL4641904,N[C@@H](CCCCCC(=O)c1ccon1)c1ccn(-c2ccc(F)cc2)n1,ULVBVRHTPUIWJF-INIZCTEOSA-N,15.0,,1,O=C(CCCCCCc1ccn(-c2ccccc2)n1)c1ccon1,train
CHEMBL4632449,N[C@@H](CCCCCC(=O)c1ccon1)c1cnn(-c2ccc(F)cc2)c1,HPNRVPHONJCSQC-KRWDZBQOSA-N,13.0,,1,O=C(CCCCCCc1cnn(-c2ccccc2)c1)c1ccon1,train
CHEMBL4634501,CN1CC(C(=O)N[C@@H](CCCCCC(=O)c2ccon2)c2ncc(-c3ccccc3F)o2)C1,HCEDLZCUHOEHNH-FQEVSTJZSA-N,0.17,,1,O=C(CCCCCC(NC(=O)C1CNC1)c1ncc(-c2ccccc2)o1)c1ccon1,train
