smiles,identifier,P_TR,PS,rank
CN1N=C(C2=CC=CS2)C=C1[C@H]1C[N@]2CC[C@H]1C[C@@H]2CNS(C)(=O)=O,CNP0011070.1,1.0,0.855,1
CN1C[C@@H](NS(C)(=O)=O)C[C@H]1C1=NC(C2=CC=C3OCOC3=C2)=NO1,CNP0012701.1,1.0,0.855,2
CN1C[C@@H](NS(C)(=O)=O)C[C@H]1C1=NC(C2=CC=C(Cl)C=C2)=NO1,CNP0446684.1,1.0,0.855,3
CN1N=C(C2=CC=CS2)C=C1[C@H]1CN2CC[C@H]1C[C@@H]2CNS(C)(=O)=O,CNP0011070.2,1.0,0.855,4
CC1(C)O[C@H]2[C@@H](O1)[C@@H](C(=O)NC1=NC=CS1)O[C@@H]1OC(C)(C)O[C@@H]12,CNP0111155.1,1.0,0.855,5
CS(=O)(=O)N[C@@H]1CO[C@@H]2[C@@H]1OC[C@@H]2N1C=C(C2=CC=CC=C2)N=N1,CNP0475783.2,1.0,0.855,6
CS(=O)(=O)N[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2N1C=C(C2=CC=CC=C2)N=N1,CNP0475783.1,1.0,0.855,7
COC1=CC=CC2=C1OC(C(=O)N[C@@H]1CCS(=O)(=O)C1)=C2,CNP0045807.1,0.9999998807907104,0.8549998980760574,8
CS(=O)(=O)O[C@H]1CSC[C@H]1NC(=O)C1=CC=CC=C1,CNP0367517.1,0.9999998807907104,0.8549998980760574,9
CN1C[C@@H](NS(C)(=O)=O)C[C@H]1C1=NC(C2=CC=NC=C2)=NO1,CNP0078065.1,0.9999998807907104,0.8549998980760574,10
COC1=CC=CC2=C1OC(C(=O)N[C@H]1CCS(=O)(=O)C1)=C2,CNP0045807.2,0.9999998807907104,0.8549998980760574,11
O=C(N[C@H]1CCS(=O)(=O)C1)O[C@@H]1CCN2CC3=CC=CC=C3N=C12,CNP0378904.2,0.9999997615814209,0.8549997961521149,12
