identifier,smiles,standard_inchi,standard_inchi_key,name,iupac_name,annotation_level,total_atom_count,heavy_atom_count,molecular_weight,exact_molecular_weight,molecular_formula,alogp,topological_polar_surface_area,rotatable_bond_count,hydrogen_bond_acceptors,hydrogen_bond_donors,hydrogen_bond_acceptors_lipinski,hydrogen_bond_donors_lipinski,lipinski_rule_of_five_violations,aromatic_rings_count,qed_drug_likeliness,formal_charge,fractioncsp3,number_of_minimal_rings,van_der_walls_volume,contains_sugar,contains_ring_sugars,contains_linear_sugars,murcko_framework,np_likeness,chemical_class,chemical_sub_class,chemical_super_class,direct_parent_classification,np_classifier_pathway,np_classifier_superclass,np_classifier_class,np_classifier_is_glycoside,organisms,collections,dois,synonyms,cas,is_pains,pains_reason,inchikey,P_TR,PS,rank
CNP0011070.1,CN1N=C(C2=CC=CS2)C=C1[C@H]1C[N@]2CC[C@H]1C[C@@H]2CNS(C)(=O)=O,"InChI=1S/C17H24N4O2S2/c1-20-16(9-15(19-20)17-4-3-7-24-17)14-11-21-6-5-12(14)8-13(21)10-18-25(2,22)23/h3-4,7,9,12-14,18H,5-6,8,10-11H2,1-2H3/t12-,13+,14-/m0/s1",TUWXCXBOAHVSAT-MJBXVCDLSA-N,"~{N}-[[(1~{R},2~{R},4~{S},5~{R})-5-[2-methyl-5-(2-thienyl)pyrazol-3-yl]quinuclidin-2-yl]methyl]methanesulfonamide","~{N}-[[(1~{R},2~{R},4~{S},5~{R})-5-[2-methyl-5-(2-thienyl)pyrazol-3-yl]quinuclidin-2-yl]methyl]methanesulfonamide",1,49,25,380.54,380.13407,C17H24N4O2S2,1.88,67.23,5,6,1,6,1,0,2,0.86,0,0.59,5,,False,False,False,N=1[N]C(=CC1c2sccc2)C3CN4CCC3CC4,-1.86,Quinuclidines,Quinuclidines,Organoheterocyclic compounds,Quinuclidines,Alkaloids,Tryptophan alkaloids,,False,,Super Natural II,,,,False,,TUWXCXBOAHVSAT-MJBXVCDLSA-N,1.0,0.855,1
CNP0012701.1,CN1C[C@@H](NS(C)(=O)=O)C[C@H]1C1=NC(C2=CC=C3OCOC3=C2)=NO1,"InChI=1S/C15H18N4O5S/c1-19-7-10(18-25(2,20)21)6-11(19)15-16-14(17-24-15)9-3-4-12-13(5-9)23-8-22-12/h3-5,10-11,18H,6-8H2,1-2H3/t10-,11-/m0/s1",XQBPANGVYOYXIZ-QWRGUYRKSA-N,,"~{N}-[(3~{S},5~{S})-5-[3-(1,3-benzodioxol-5-yl)-1,2,4-oxadiazol-5-yl]-1-methyl-pyrrolidin-3-yl]methanesulfonamide",1,43,25,366.4,366.09979,C15H18N4O5S,0.76,106.79,4,8,1,8,1,0,2,0.85,0,0.47,4,,False,False,False,n1oc(nc1-c2ccc3OCOc3c2)C4NCCC4,-1.36,Benzodioxoles,Benzodioxoles,Organoheterocyclic compounds,Benzodioxoles,Alkaloids,,,False,,Super Natural II|ZINC NP,,,,False,,XQBPANGVYOYXIZ-QWRGUYRKSA-N,1.0,0.855,2
CNP0446684.1,CN1C[C@@H](NS(C)(=O)=O)C[C@H]1C1=NC(C2=CC=C(Cl)C=C2)=NO1,"InChI=1S/C14H17ClN4O3S/c1-19-8-11(18-23(2,20)21)7-12(19)14-16-13(17-22-14)9-3-5-10(15)6-4-9/h3-6,11-12,18H,7-8H2,1-2H3/t11-,12-/m0/s1",GPBNKDKSYDQGRA-RYUDHWBXSA-N,NCGC00391660-01,"~{N}-[(3~{S},5~{S})-5-[3-(4-chlorophenyl)-1,2,4-oxadiazol-5-yl]-1-methyl-pyrrolidin-3-yl]methanesulfonamide",2,40,23,356.83,356.07099,C14H17ClN4O3S,1.68,88.33,4,6,1,6,1,0,2,0.9,0,0.43,3,,False,False,False,n1oc(nc1-c2ccccc2)C3NCCC3,-1.85,Azoles,Oxadiazoles,Organoheterocyclic compounds,Phenyloxadiazoles,Alkaloids,,,False,,Super Natural II,,,,False,,GPBNKDKSYDQGRA-RYUDHWBXSA-N,1.0,0.855,3
CNP0011070.2,CN1N=C(C2=CC=CS2)C=C1[C@H]1CN2CC[C@H]1C[C@@H]2CNS(C)(=O)=O,"InChI=1S/C17H24N4O2S2/c1-20-16(9-15(19-20)17-4-3-7-24-17)14-11-21-6-5-12(14)8-13(21)10-18-25(2,22)23/h3-4,7,9,12-14,18H,5-6,8,10-11H2,1-2H3/t12-,13+,14-/m0/s1",TUWXCXBOAHVSAT-MJBXVCDLSA-N,"N-[[(2R,4S,5R)-5-(2-methyl-5-thiophen-2-ylpyrazol-3-yl)-1-azabicyclo[2.2.2]octan-2-yl]methyl]methanesulfonamide","~{N}-[[(2~{R},4~{S},5~{R})-5-[2-methyl-5-(2-thienyl)pyrazol-3-yl]quinuclidin-2-yl]methyl]methanesulfonamide",2,49,25,380.54,380.13407,C17H24N4O2S2,1.88,67.23,5,6,1,6,1,0,2,0.86,0,0.59,5,,False,False,False,N=1[N]C(=CC1c2sccc2)C3CN4CCC3CC4,-1.86,Quinuclidines,Quinuclidines,Organoheterocyclic compounds,Quinuclidines,Alkaloids,Tryptophan alkaloids,,False,,ZINC NP,,CHEMBL3437430|NCGC00399773-01,,False,,TUWXCXBOAHVSAT-MJBXVCDLSA-N,1.0,0.855,4
CNP0111155.1,CC1(C)O[C@H]2[C@@H](O1)[C@@H](C(=O)NC1=NC=CS1)O[C@@H]1OC(C)(C)O[C@@H]12,"InChI=1S/C15H20N2O6S/c1-14(2)20-7-8(21-14)10-12(23-15(3,4)22-10)19-9(7)11(18)17-13-16-5-6-24-13/h5-10,12H,1-4H3,(H,16,17,18)/t7-,8+,9+,10-,12-/m1/s1",NVVNHYDQXQRFEH-KZFLBEFCSA-N,"(1S,2R,6R,8S,9R)-4,4,11,11-tetramethyl-N-(1,3-thiazol-2-yl)-3,5,7,10,12-pentaoxatricyclo[7.3.0.02,6]dodecane-8-carboxamide","(1~{S},2~{R},6~{R},8~{S},9~{R})-4,4,11,11-tetramethyl-~{N}-thiazol-2-yl-3,5,7,10,12-pentaoxatricyclo[7.3.0.0^{2,6}]dodecane-8-carboxamide",3,44,24,356.4,356.10421,C15H20N2O6S,1.48,88.14,2,8,1,8,1,0,1,0.86,0,0.73,4,297.18,False,False,False,n1ccsc1NCC2OC3OCOC3C4OCOC24,-0.61,Dioxolopyrans,Dioxolopyrans,Organoheterocyclic compounds,Dioxolopyrans,Alkaloids,,,False,,InterBioScreen Ltd|NPEdia|Super Natural II,,"(3aR,5S,5aR,8aS,8bR)-2,2,7,7-tetramethyl-N-(1,3-thiazol-2-yl)tetrahydro-3aH-bis[1,3]dioxolo[4,5-b:4',5'-d]pyran-5-carboxamide (non-preferred name)|AKOS001862486|CHEMBL5019606|NPD10352|REL-(3AR,5S,5AR,8AS,8BR)-2,2,7,7-TETRAMETHYL-N-(1,3-THIAZOL-2-YL)TETRAHYDRO-3AH-BIS[1,3]DIOXOLO[4,5-B:4',5'-D]PYRAN-5-CARBOXAMIDE|SR-01000148653|STL253080",,False,,NVVNHYDQXQRFEH-KZFLBEFCSA-N,1.0,0.855,5
CNP0475783.2,CS(=O)(=O)N[C@@H]1CO[C@@H]2[C@@H]1OC[C@@H]2N1C=C(C2=CC=CC=C2)N=N1,"InChI=1S/C15H18N4O4S/c1-24(20,21)17-12-8-22-15-13(9-23-14(12)15)19-7-11(16-18-19)10-5-3-2-4-6-10/h2-7,12-15,17H,8-9H2,1H3/t12-,13+,14-,15+/m1/s1",YGWQWBNCHXZDMD-BARDWOONSA-N,,"~{N}-[(3~{R},3~{a}~{R},6~{S},6~{a}~{S})-6-(4-phenyltriazol-1-yl)-2,3,3~{a},5,6,6~{a}-hexahydrofuro[3,2-b]furan-3-yl]methanesulfonamide",3,42,24,350.4,350.10488,C15H18N4O4S,0.2,95.34,4,7,1,7,1,0,2,0.85,0,0.47,4,290.37,False,False,False,n1nn(cc1-c2ccccc2)C3COC4CCOC43,-1.31,Azoles,Triazoles,Organoheterocyclic compounds,"Phenyl-1,2,3-triazoles",Alkaloids,,,False,,Supernatural3,,"N-[(3S,3aR,6S,6aR)-6-(4-phenyl-1,2,3-triazol-1-yl)-hexahydrofuro[3,2-b]furan-3-yl]methanesulfonamide",,False,,YGWQWBNCHXZDMD-BARDWOONSA-N,1.0,0.855,6
CNP0475783.1,CS(=O)(=O)N[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2N1C=C(C2=CC=CC=C2)N=N1,"InChI=1S/C15H18N4O4S/c1-24(20,21)17-12-8-22-15-13(9-23-14(12)15)19-7-11(16-18-19)10-5-3-2-4-6-10/h2-7,12-15,17H,8-9H2,1H3/t12-,13-,14+,15+/m0/s1",YGWQWBNCHXZDMD-BYNSBNAKSA-N,,"~{N}-[(3~{S},3~{a}~{R},6~{S},6~{a}~{R})-6-(4-phenyltriazol-1-yl)-2,3,3~{a},5,6,6~{a}-hexahydrofuro[3,2-b]furan-3-yl]methanesulfonamide",3,42,24,350.4,350.10488,C15H18N4O4S,0.2,95.34,4,7,1,7,1,0,2,0.85,0,0.47,4,291.81,False,False,False,n1nn(cc1-c2ccccc2)C3COC4CCOC43,-1.31,Azoles,Triazoles,Organoheterocyclic compounds,"Phenyl-1,2,3-triazoles",Alkaloids,,,False,,Super Natural II|Supernatural3,,"N-[(3S,3aR,6S,6aR)-6-(4-phenyl-1,2,3-triazol-1-yl)-hexahydrofuro[3,2-b]furan-3-yl]methanesulfonamide",,False,,YGWQWBNCHXZDMD-BYNSBNAKSA-N,1.0,0.855,7
CNP0045807.1,COC1=CC=CC2=C1OC(C(=O)N[C@@H]1CCS(=O)(=O)C1)=C2,"InChI=1S/C14H15NO5S/c1-19-11-4-2-3-9-7-12(20-13(9)11)14(16)15-10-5-6-21(17,18)8-10/h2-4,7,10H,5-6,8H2,1H3,(H,15,16)/t10-/m1/s1",FJANCWCTLPAIPB-SNVBAGLBSA-N,,"~{N}-[(3~{R})-1,1-dioxothiolan-3-yl]-7-methoxy-benzofuran-2-carboxamide",2,36,21,309.34,309.06709,C14H15NO5S,1.36,85.61,3,5,1,5,1,0,2,0.92,0,0.36,3,256.62,False,False,False,o1c2ccccc2cc1CNC3CSCC3,-1.65,Benzofurans,Benzofurans,Organoheterocyclic compounds,Benzofurans,Shikimates and Phenylpropanoids,,,False,,Super Natural II|Supernatural3,,"N-[(3R)-1,1-dioxo-1\u03bb\u2076-thiolan-3-yl]-7-methoxy-1-benzofuran-2-carboxamide",,False,,FJANCWCTLPAIPB-SNVBAGLBSA-N,0.9999998807907104,0.8549998980760574,8
CNP0367517.1,CS(=O)(=O)O[C@H]1CSC[C@H]1NC(=O)C1=CC=CC=C1,"InChI=1S/C12H15NO4S2/c1-19(15,16)17-11-8-18-7-10(11)13-12(14)9-5-3-2-4-6-9/h2-6,10-11H,7-8H2,1H3,(H,13,14)/t10-,11+/m1/s1",XKAIZQVEFDBPBX-MNOVXSKESA-N,STK786736,"[(3~{R},4~{S})-4-benzamidotetrahydrothiophen-3-yl] methanesulfonate",2,34,19,301.39,301.04425,C12H15NO4S2,0.88,72.47,4,5,1,5,1,0,1,0.84,0,0.42,2,249.66,False,False,False,S1CCC(NCc2ccccc2)C1,-0.44,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzenoids,Benzamides,,,,False,,InterBioScreen Ltd|Super Natural II,,"(3R,4S)-4-[(phenylcarbonyl)amino]tetrahydrothiophen-3-yl methanesulfonate|AKOS005621986",,False,,XKAIZQVEFDBPBX-MNOVXSKESA-N,0.9999998807907104,0.8549998980760574,9
CNP0078065.1,CN1C[C@@H](NS(C)(=O)=O)C[C@H]1C1=NC(C2=CC=NC=C2)=NO1,"InChI=1S/C13H17N5O3S/c1-18-8-10(17-22(2,19)20)7-11(18)13-15-12(16-21-13)9-3-5-14-6-4-9/h3-6,10-11,17H,7-8H2,1-2H3/t10-,11-/m0/s1",CTXZNMBPALNCCQ-QWRGUYRKSA-N,NCGC00396327-01,"~{N}-[(3~{S},5~{S})-1-methyl-5-[3-(4-pyridyl)-1,2,4-oxadiazol-5-yl]pyrrolidin-3-yl]methanesulfonamide",2,39,22,323.38,323.10521,C13H17N5O3S,0.43,101.22,4,7,1,7,1,0,2,0.87,0,0.46,3,,False,False,False,n1ccc(cc1)-c2noc(n2)C3NCCC3,-1.79,Pyridines and derivatives,Methylpyridines,Organoheterocyclic compounds,Methylpyridines,Alkaloids,Nicotinic acid alkaloids,Pyridine alkaloids,False,,Super Natural II|ZINC NP,,,,False,,CTXZNMBPALNCCQ-QWRGUYRKSA-N,0.9999998807907104,0.8549998980760574,10
