epoch,train_loss,val_loss,val_TR_auc,val_TR_auprc,time_s
1,1.6955,45.4121,0.6861,0.1233,28.4
2,1.0818,3.2339,0.895,0.5995,27.9
3,1.2455,9.8114,0.8373,0.2403,27.8
4,1.0705,12.1858,0.8456,0.2547,27.8
5,0.8906,8.6616,0.8248,0.3122,27.9
6,0.8625,3.3679,0.9314,0.8643,28.2
7,0.6478,5.973,0.7682,0.163,28.0
8,0.6572,2.2572,0.8264,0.2226,28.3
9,0.6661,0.9012,0.9392,0.7666,27.9
10,0.8903,4.8329,0.9257,0.6095,28.9
11,0.6166,4.205,0.9433,0.9141,28.3
12,0.5399,1.5401,0.9028,0.4649,28.3
13,0.458,4.5217,0.9356,0.834,28.0
14,0.716,14.293,0.8628,0.4361,28.3
15,0.4642,1.0446,0.9132,0.569,28.0
16,0.7339,2.3122,0.8914,0.3929,28.1
17,0.5644,1.0754,0.9044,0.4042,28.0
18,0.3306,31.8083,0.7812,0.1714,28.2
19,0.4577,4.8749,0.9174,0.4287,28.9
20,0.8742,1.1576,0.9241,0.7564,28.1
21,0.3107,1.1092,0.8955,0.3727,28.1
22,0.4662,2.2887,0.9283,0.5912,28.5
23,0.3428,1.4517,0.9678,0.8162,28.2
24,0.391,9.3739,0.7495,0.352,28.2
25,0.3348,1.1369,0.8898,0.511,28.1
26,0.0717,8.105,0.9137,0.6843,28.1
27,0.6494,0.7681,0.9605,0.763,28.4
28,0.6215,4.0408,0.9574,0.8302,29.1
29,0.2696,1.8227,0.9522,0.8322,29.1
30,0.2737,1.1598,0.9647,0.8733,28.4
31,0.544,7.0152,0.9387,0.6404,31.4
32,0.0944,2.5729,0.9673,0.8767,28.1
33,0.3649,1.6708,0.9636,0.9244,28.2
34,0.1697,1.1504,0.9589,0.9339,28.2
35,0.1585,2.3933,0.9828,0.9348,28.2
36,0.1408,1.71,0.974,0.8216,28.2
37,0.3257,1.2413,0.9667,0.897,28.1
38,0.3901,0.8368,0.9439,0.7465,28.3
39,0.1691,2.4139,0.9553,0.9274,29.2
40,0.19,2.1195,0.9615,0.7888,29.1
41,0.0556,9.6387,0.8851,0.5498,31.0
42,0.141,3.5271,0.8924,0.4344,28.4
43,0.1498,2.8043,0.9683,0.8448,29.0
44,0.1398,3.0502,0.9647,0.8617,28.2
45,0.3613,2.217,0.9719,0.8217,28.3
46,0.0216,2.4888,0.9693,0.8202,28.3
47,0.16,4.5798,0.9459,0.8017,28.4
48,0.0698,2.6612,0.9777,0.8656,28.6
49,0.0069,2.253,0.9797,0.8692,28.6
50,0.0351,0.485,0.9938,0.9422,28.3
51,0.1015,1.3346,0.9844,0.8772,28.8
52,0.0152,1.6286,0.9849,0.8843,28.4
53,0.0201,2.3666,0.9808,0.8891,28.5
54,0.0166,1.9913,0.9699,0.871,28.4
55,0.0323,2.2807,0.9631,0.8012,28.4
56,0.0544,1.9723,0.9704,0.8993,28.8
57,0.1111,1.6755,0.9777,0.8581,28.9
58,0.0125,2.1873,0.9673,0.839,28.4
59,0.0084,1.6747,0.9828,0.8925,28.4
60,0.0033,0.9282,0.9818,0.9118,28.2
61,0.0026,1.8501,0.9797,0.8886,28.6
62,0.063,2.1684,0.9834,0.9077,28.4
63,0.0109,1.5901,0.986,0.9146,28.3
64,0.0248,2.2158,0.9771,0.8808,29.2
65,0.1248,2.6345,0.974,0.8772,28.5
66,0.0128,1.9616,0.9719,0.8463,28.4
67,0.0181,2.6118,0.9782,0.8775,28.3
68,0.0057,2.1147,0.9797,0.9069,28.2
69,0.0018,2.3332,0.9823,0.9114,28.3
70,0.0116,2.0741,0.9891,0.9475,28.4
71,0.0137,1.6966,0.9678,0.8582,28.5
72,0.0048,2.0674,0.9849,0.9357,28.2
73,0.0017,2.232,0.9875,0.9449,28.2
74,0.0053,2.1126,0.9792,0.8862,28.4
75,0.02,2.0641,0.9839,0.9019,28.4
76,0.0313,2.0125,0.987,0.9087,28.6
77,0.012,2.3944,0.9854,0.9076,28.6
78,0.0029,2.0982,0.9865,0.9156,29.3
79,0.0013,1.9704,0.987,0.9167,28.6
80,0.0065,2.2728,0.9834,0.8922,28.6
81,0.0008,2.3045,0.9828,0.9007,28.5
82,0.0147,2.0595,0.986,0.9146,28.5
83,0.0023,2.0238,0.9865,0.9156,28.6
84,0.0064,2.0699,0.9865,0.9156,28.5
85,0.001,2.1152,0.9849,0.9042,28.7
86,0.0035,2.2876,0.986,0.9086,28.1
87,0.0005,2.1194,0.987,0.9165,28.4
88,0.0032,2.0359,0.9875,0.9211,29.3
89,0.0041,2.0624,0.986,0.9129,28.7
90,0.0032,1.9019,0.9875,0.922,28.6
91,0.0007,1.8678,0.9865,0.9163,28.3
92,0.0111,1.8672,0.9865,0.9223,28.2
93,0.0029,1.951,0.9854,0.9226,28.8
94,0.0042,1.845,0.9854,0.918,28.4
95,0.001,1.9883,0.986,0.9189,28.3
96,0.0014,2.0065,0.986,0.9189,28.2
97,0.0023,1.9546,0.9854,0.918,28.3
98,0.0033,1.9385,0.9854,0.918,28.2
99,0.0005,1.9965,0.986,0.9189,28.4
100,0.0003,1.9786,0.9849,0.9172,28.6
